strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/USA/RI-RISHL-E05569/2022	EPI_ISL_15392957		Rhode Island State Health Laboratory	Rhode Island State Health Laboratory	Richard C. Huard et al
hCoV-19/Kazakhstan/NLA-09-35-MN908947-3/2022	EPI_ISL_17096614		"Clinical Diagnostic Laboratory ""Olymp"""	Center for Life Sciences, National Laboratory Astana, Nazarbayev University	Akbota Aitkulova et al
hCoV-19/Kazakhstan/NLA-15_33/2022	EPI_ISL_17454336		"Clinical Diagnostic Laboratory ""Olymp"""	Center for Life Sciences, National Laboratory Astana, Nazarbayev University	Ulykbek Kairov et al
hCoV-19/Russia/KGD-RII-MH76269S/2022	EPI_ISL_14984816		Kaliningrad City Hospital No 4	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Tianjin/TJCDC-1455/2022	EPI_ISL_16922902		Tianjin Centers for Disease Control and Prevention	Tianjin Centers for Disease Control and Prevention	Li Xiaoyan et al
hCoV-19/Beijing/BJCDC-2304/2022	EPI_ISL_16634325		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Fu Li et al
hCoV-19/Beijing/BJCDC-2388/2022	EPI_ISL_16641928		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Zhaomin Feng et al
hCoV-19/Zhejiang/IVDC-642/2022	EPI_ISL_16635346		Zhejiang Center for Disease Control and Prevention	China Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention	Jun Li et al
hCoV-19/Yunnan/YNCDC-0096/2023	EPI_ISL_17493318		Yunnan Center for Disease Control and Prevention	Yunnan Center for Disease Control and Prevention	Zhang et al B
hCoV-19/Xinjiang/IVDC-176/2023	EPI_ISL_16635894		Xinjiang Center for Disease Control and Prevention	China Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention	Xin Ma et al
hCoV-19/India/GJ-INSACOG-GBRC10143/2022	EPI_ISL_16372284		Government Medical College, Bhavnagar	Gujarat Biotechnology Research Centre-INSACOG	Sonal Sharma et al.
hCoV-19/Guangxi/GCDC-GL-113007/2022	EPI_ISL_17088795		Guilin Center for Disease Control and Prevention	Guangxi Zhuang Autonomous Region Center for Disease Control and Prevention	Lili Jiang et al
hCoV-19/Hubei/HCDC-WH0015/2022	EPI_ISL_17487832		Hubei Provincial Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	Yongzhong Jiang et al
hCoV-19/Hubei/HCDC-WH739/2023	EPI_ISL_17104702		Wuhan Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	Manqing Liu et al
hCoV-19/Sichuan/SCDC-03023/2023	EPI_ISL_17489276		Sichuan Center of Disease Control and Prevention	Sichuan Center of Disease Control and Prevention	Hailiang Qi et al
hCoV-19/Shanghai/IVDC-1470/2022	EPI_ISL_16634363		Shanghai Municipal Center For Disease Control and Prevention	China Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention	JiangHui et al
hCoV-19/Guangdong/GPIPH-XG_SZ_22361/2022	EPI_ISL_18925789		Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provinical Center for Disease Control and Prevention	Zhonghua Zheng et al
hCoV-19/Gansu/GSCDC-0089/2023	EPI_ISL_17495030		Gansu Provincial Centre for Disease Control and Prevention	Gansu Provincial Centre for Disease Control and Prevention	Li et al
hCoV-19/Shanxi/JCCDC-JCCX0124/2023	EPI_ISL_17684225		Department of Microbiology, Jincheng Centers for Disease Control and prevention	Department of Microbiology, Jincheng Centers for Disease Control and prevention	Zhang et al B
hCoV-19/Shanghai/SCDC-XG04-2076/2023	EPI_ISL_17488913		Shanghai Municipal Center for Disease Control & Prevention	Shanghai Municipal Center for Disease Control & Prevention	Zhang et al B
hCoV-19/Xinjiang/IVDC-214/2023	EPI_ISL_16635928		Xinjiang Center for Disease Control and Prevention	China Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention	Xin Ma et al
hCoV-19/Sichuan/ZYCDC-230051/2023	EPI_ISL_16970279		Ziyang Center of Disease Control and Prevention	Sichuan Center of Disease Control and Prevention	Tao Zhang et al
hCoV-19/Henan/ZCDC-ZZ058/2023	EPI_ISL_17281113		The microbiology lab at the Centers for Disease Control and Prevention in Zhengzhou	The microbiology lab at the Centers for Disease Control and Prevention in Zhengzhou	Xiaomeng Zhang et al
hCoV-19/Guangdong/GDCDC_ZH_0063/2023	EPI_ISL_17584553		Institute of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention	Institute of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention	Chang Zhang et al
hCoV-19/Sichuan/MYCDC-XGCX065/2023	EPI_ISL_17536874		Mianyang Center of Disease Control and Prevention	Microbiology laboratory, Sichuan Center of Disease Control and Prevention	Yuke Dai et al
hCoV-19/Sichuan/CDCDC-230257/2023	EPI_ISL_17062112		Chengdu Center of Disease Control and Prevention	Sichuan Center of Disease Control and Prevention	Heng Chen et al
hCoV-19/Guangdong/GPIPH-2022A_XG50635/2022	EPI_ISL_18925733		Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provinical Center for Disease Control and Prevention	Zhonghua Zheng et al
hCoV-19/Guangdong/GPIPH-XG_GZ_22804/2022	EPI_ISL_18924853		Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provinical Center for Disease Control and Prevention	Zhonghua Zheng et al
hCoV-19/Hubei/HCDC-WH0351/2022	EPI_ISL_17487643		Hubei Provincial Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	Yongzhong Jiang et al
hCoV-19/Guangdong/GPIPH-2022A_XG49456/2022	EPI_ISL_18925661		Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provinical Center for Disease Control and Prevention	Zhonghua Zheng et al
hCoV-19/Guangdong/GPIPH-2022A_XG42447/2022	EPI_ISL_18925131		Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provinical Center for Disease Control and Prevention	Zhonghua Zheng et al
hCoV-19/Hubei/HCDC-XG48/2022	EPI_ISL_16617339		Xiaogan Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	Yongzhong Jiang et al
hCoV-19/Guangdong/GPIPH-XG_SZ_22471/2022	EPI_ISL_18925616		Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provinical Center for Disease Control and Prevention	Zhonghua Zheng et al
hCoV-19/Guangdong/GPIPH-XG_SG_22652/2022	EPI_ISL_18925424		Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provinical Center for Disease Control and Prevention	Zhonghua Zheng et al
hCoV-19/Guangdong/GCDC-SG-0002/2023	EPI_ISL_16573356		Guangdong Provincial Center for Disease Control and Prevention	Guangdong Provinical Center for Disease Control and Prevention	Zhonghua Zheng et al
hCoV-19/Hainan/CDC-279/2023	EPI_ISL_17045271		Haikou Center for Disease Control and Prevention	Hainan Provincial Center for Disease Control and Prevention	Zhuang Zihui et al
hCoV-19/Guangdong/GPIPH-2022A_XG33096/2022	EPI_ISL_18924558		Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provinical Center for Disease Control and Prevention	Zhonghua Zheng et al
hCoV-19/Hubei/HCDC-WH0017/2022	EPI_ISL_17487830		Hubei Provincial Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	Yongzhong Jiang et al
hCoV-19/Heilongjiang/HLJCDC-0828/2023	EPI_ISL_17516813		Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Institute for Viral Disease Control and Prevention, Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Jun Xu et al
hCoV-19/Tianjin/TJCDC-002/2022	EPI_ISL_16481837		Tianjin Centers for Disease Control and Prevention	Tianjin Centers for Disease Control and Prevention	Xiaoyan Li et al
hCoV-19/Shandong/SDCDC-1066/2023	EPI_ISL_16849207		Qingdao Center for Disease Control and Prevention	Shandong Provincial Center for Disease Control and Prevention	Yan Li et al
hCoV-19/Shandong/SDCDC-0400/2023	EPI_ISL_16604773		Jinan Municipal Center for Disease Control and Prevention	Shandong Provincial Center for Disease Control and Prevention	Yan Li et al
hCoV-19/SouthKorea/KDCA196428/2023	EPI_ISL_16568780		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
hCoV-19/Zhejiang/ZJCDC-182/2023	EPI_ISL_17490656		Zhejiang Provincial Center for Disease Control and Prevention	Zhejiang Provincial Center for Disease Control and Prevention	Zhou et al
hCoV-19/Jiangxi/JXJDZ-008/2023	EPI_ISL_17794475		Jiujiang Center for Disease Control and Prevention	Institute of Disease Control and Inspection, Jiangxi Province Center for Disease Control and Prevention	Yangbowen Wu et al
hCoV-19/Shanxi/TYCDC372/2023	EPI_ISL_18495303		Microbiology Department, Taiyuan Center for Disease Control and Prevention	Microbiology Department, Taiyuan Center for Disease Control and Prevention	Wang et al
hCoV-19/Fujian/FCDC-FJ01S079/2023	EPI_ISL_17489561		Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Lin et al
hCoV-19/Henan/CDC-LG1309/2022	EPI_ISL_16709240		Centers for Disease Control and Prevention in Zhengzhou, Microbiology Lab	Centers for Disease Control and Prevention in Zhengzhou, Microbiology Lab	Jiajia Lv et al
hCoV-19/Guangxi/GCDC-BH-122913/2022	EPI_ISL_17088725		Beihai Center for Disease Control and Prevention	Guangxi Zhuang Autonomous Region Center for Disease Control and Prevention	Xiaolu Liang et al
hCoV-19/Anhui/MCDC011204/2023	EPI_ISL_16611226		Maanshan Center for Disease Control and Prevention, Microbiology Laboratory	Maanshan Center for Disease Control and Prevention, Microbiology Laboratory	Yang Zikun et al
hCoV-19/Jiangsu/SQCDC-027/2023	EPI_ISL_16698474		Jiangsu Provincial Center for Disease Control and Prevention	Jiangsu Provincial Center for Disease Control and Prevention	Li Zhifeng et al
hCoV-19/Heilongjiang/HLJCDC-0224/2023	EPI_ISL_17199699		Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Liangqi et al
hCoV-19/Hebei/XJ-4/2023	EPI_ISL_17031866		Hebei Provincial Center for Disease Control and Prevention	Hebei Provincial Center for Disease Control and Prevention	Shiyou Liu et al
hCoV-19/Anhui/BZCDC-35/2023	EPI_ISL_17495488		Bozhou Municipal Center for Disease Control and Prevention	Bozhou Municipal Center for Disease Control and Prevention	Qingqiao Gao et al
hCoV-19/Shanghai/SCDC-XG05-4898/2023	EPI_ISL_17725348		Microbe lab, Shanghai Municipal Center for Disease Control & Prevention	Shanghai Municipal Center for Disease Control and Prevention	Zhang et al B
hCoV-19/Jilin/JLCDC-cc0350/2023	EPI_ISL_17492994		Jilin Provincial Center for Disease Control and Prevention	Jilin Provincial Center for Disease Control and Prevention	Wu Donglin et al
hCoV-19/Shandong/WCDC-163/2022	EPI_ISL_18070495		Weihai Center for Disease Control and Prevention	Weihai Center for Disease Control and Prevention	Xiang Li et al
hCoV-19/Myanmar/DSMRC-104-7/2022	EPI_ISL_14241968	OP159815.1	Defence Services Medical Research Center	DSMRC	Khine Zaw OO et al
hCoV-19/Indonesia/JK-CW62-1246/2022	EPI_ISL_13580778		Labkesda DKI	National Quality Control Laboratory of Drug and Food	Diana TW. et al
hCoV-19/USA/MA-CDCBI-CRSP_PSUX2KP727B55R4A/2022	EPI_ISL_15426544		Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle et al
hCoV-19/Pakistan/NIH-B108-S7/2022	EPI_ISL_15422626		Microbial Genomics Lab, Multidisciplinary Research Lab, Ziauddin University	Department of Virology, National Institutes of Health	Massab Umair et al
hCoV-19/India/WB-INSACOG-1930302049471/2022	EPI_ISL_14175272		INSACOG-WB	National Institute of Biomedical Genomics – INSACOG	Arindam Maitra et al
hCoV-19/Xinjiang/IVDC-223/2023	EPI_ISL_16635936		Xinjiang Center for Disease Control and Prevention	China Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention	Xin Ma et al
hCoV-19/Russia/MOS-CRIE-7764578014/2022	EPI_ISL_14425497		"Molecular diagnostic laboratory of Federal Budget Institution of Science ""Central Research Institute of Epidemiology"" of The Federal Service on Customers' Rights Protection and Human Well-being Surveillance"	Laboratory of Genomics Research of Central Research Institute of Epidemiology	Saenko V.V. et al
hCoV-19/Iran/Shahrekord-NIC-24mo-22/2022	EPI_ISL_14807046		Shahrekord University of Medical Sciences	National Influenza Center	NZ Shafiei Jandaghi et al
hCoV-19/Indonesia/BA-NIHRD-WGS-22-16803/2022	EPI_ISL_14584764		RSUD Kabupaten Buleleng	National Institute of Health Research and Development	Nelis Imaningsih et al
hCoV-19/Indonesia/BB-GS-NIHRD-GSILab-1126418/2022	EPI_ISL_15502871		BLK Provinsi Kepulauan Bangka Belitung (RSUP Soekarno)	Genomik Solidaritas Indonesia Laboratorium	Silma Aufia Naila Husna et al
hCoV-19/Pakistan/IDRL-AKU-KHI-67426-S12/2022	EPI_ISL_14241459		"""Clinical Lab, Aga Khan University Hospital"""	"""Infectious Diseases Research Laboratory, Department of Pediatrics and Child Health"""	Imran Nisar et al
hCoV-19/Myanmar/22M012/2022	EPI_ISL_17815400		Niigata University (IDRC)	Niigata University (IDRC)	Teruhime Otoguro et al
hCoV-19/Russia/SVE-RII-MH99867S/2022	EPI_ISL_15920083		UMMC-Health	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/CotedIvoire/IPCI-DVE-COV811772/2022	EPI_ISL_15908268		Departement of Epidemic Viruses, Institut Pasteur of Cote d'Ivoire Abidjan	Departement of Epidemic Viruses, Institut Pasteur of Cote d'Ivoire Abidjan	Hervé Albéric Adje Kadjo et al
hCoV-19/CotedIvoire/IPCI-DVE-COV830929/2022	EPI_ISL_15908260		Departement of Epidemic Viruses, Institut Pasteur of Cote d'Ivoire Abidjan	Departement of Epidemic Viruses, Institut Pasteur of Cote d'Ivoire Abidjan	Hervé Albéric Adje Kadjo et al
hCoV-19/Beijing/BJCDC-1984/2022	EPI_ISL_16634107		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Fu Li et al
hCoV-19/Egypt/CPHL-EGY23743/2022	EPI_ISL_18139137		CPHL,MOH,EGYPT	CPHL,MOH,EGYPT	Wael H. Roshdy et al
hCoV-19/Indonesia/JI-ITD-55679NT/2022	EPI_ISL_13751388		National Hospital	Institute of Tropical Disease, Universitas Airlangga	Rima R Prasetya et al
hCoV-19/SouthKorea/KDCA117813/2022	EPI_ISL_14975821		Division of Infectious Disease Diagnosis Control, Gyeongnam Regional Center for Disease Control and Prevention, Korea Disease Control and Prevention Agency, KDCA	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Seon Do Hwang et al
hCoV-19/Greece/34414/2022	EPI_ISL_14604773		National Public Health Organization	National Public Health Organization	Kyriaki Tryfinopoulou et al
hCoV-19/Algeria/36601/2022	EPI_ISL_15112244		NIC, Viral Respiratory Unit	NIC, Viral Respiratory Unit	Zahida Mehdi et al
hCoV-19/Beijing/BJCDC-1715/2022	EPI_ISL_16614646		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Fu Li et al
hCoV-19/Beijing/BJCDC-1716/2022	EPI_ISL_16614644		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Fu Li et al
hCoV-19/USA/CT-ASC-210775505/2022	EPI_ISL_15257703		Aegis Sciences Corporation	Aegis Sciences Corporation	Cyndi Clark et al
hCoV-19/Pakistan/IDRL-AKU-KHI-78002-S13/2022	EPI_ISL_15378335		"""Clinical Lab, Aga Khan University Hospital"""	"""Infectious Diseases Research Laboratory, Department of Pediatrics and Child Health"""	"""Imran Nisar et al"
hCoV-19/Pakistan/IDRL-AKU-KHI-70485-S3/2022	EPI_ISL_14241473		"""Clinical Lab, Aga Khan University Hospital"""	"""Infectious Diseases Research Laboratory, Department of Pediatrics and Child Health"""	Waqasuddin Khan et al
hCoV-19/Pakistan/NIH-B84-S5/2022	EPI_ISL_14746748		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al
hCoV-19/SaudiArabia/KAUST28/2022	EPI_ISL_15826819		King Faisal Specialist Hospital & Research Center	Pathogen Genomics Lab King Abdullah University of Science and Technology (KAUST)	Sabir A Adoub et al
hCoV-19/Indonesia/JK-CW62-2484/2022	EPI_ISL_15035705		RS Mayapada Jakarta	National Quality Control Laboratory of Drug and Food	Fitra Y. D. et al
hCoV-19/Portugal/PT43181/2022	EPI_ISL_15390064		SESARAM	Instituto Nacional de Saude Doutor Ricardo Jorge (INSA)	Borges et al
hCoV-19/Indonesia/JK-CW62-2284/2022	EPI_ISL_14780625		RSIA Grand Family	National Quality Control Laboratory of Drug and Food	Dilin R. N. et al
hCoV-19/Philippines/PH-PGCMIN318/2022	EPI_ISL_14051152		St. Elizabeth Hospital, Inc.	Philippine Genome Center Mindanao	Joel Hassan G. Tolentino et al
hCoV-19/Thailand/NIH-16-1083-1-02/2022	EPI_ISL_14992680		Thatphanom Crown Prince Hospital	National Institute of Health of Thailand (Thai-NIH)	Sumonmal Uttayamakul et al
hCoV-19/Iran/BE2830/2022	EPI_ISL_13665849		Central HIV Labaratory	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Ali Maleki et al
hCoV-19/India/WB-INSACOG-1932000426408/2022	EPI_ISL_14303778		INSACOG-WB	National Institute of Biomedical Genomics – INSACOG	Arindam Maitra et al
hCoV-19/India/TN-CDFD-J7-1331/2022	EPI_ISL_14358309		Directorate of Public Health and Preventive Medicine	CDFD-INSACOG	Asmita Gupta et al
hCoV-19/SouthKorea/KDCA167586/2022	EPI_ISL_16136050		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
hCoV-19/Indonesia/JK-NIHRD-WGS-22-27789/2022	EPI_ISL_15464900		Labkesda Jakarta (PKC Cempaka Putih)	National Institute of Health Research and Development	Fajar Nur Sulistiyohadi et al
hCoV-19/Iran/Gilan-NIC-9mo-32/2022	EPI_ISL_14445612		Guilan University of Medical Sciences	National Influenza Center	J Yavarian et al
hCoV-19/Indonesia/JK-FKUINIHRD-11439/2022	EPI_ISL_17964658		RS Mayapada Jakarta	Faculty of Medicine, Universitas Indonesia	Fera Ibrahim et al
hCoV-19/Italy/EMR_AUSLRomagna_C080-22-02/2022	EPI_ISL_14594143		U.O. Microbiologia Laboratorio Unico Centro Servizi - AUSL della Romagna	U.O. Microbiologia, Laboratorio Unico Centro Servizi - AUSL della Romagna	Giorgio Dirani et al
hCoV-19/Tianjin/TJCDC-1261/2022	EPI_ISL_16922551		Tianjin Centers for Disease Control and Prevention	Tianjin Centers for Disease Control and Prevention	Li Xiaoyan et al
hCoV-19/Turkey/HSGM-G9296/2022	EPI_ISL_14936124		Ministry of Health Turkey	Ministry of Health Turkey, Public Health Directorate, National Virology Reference Laboratory	Fatma Bayrakdar et al A
hCoV-19/Indonesia/JK-NIHRD-WGS_22_06561/2022	EPI_ISL_13636709		Laboratorium Pathlab Jakarta Utara	National Institute of Health Research and Development	Nelis Imaningsih et al
hCoV-19/India/GJ-INSACOG-GBRC8497/2022	EPI_ISL_15058070		Unipeth Pathology Laboratory -Vadodara	Gujarat Biotechnology Research Centre	Sonal Sharma et al
hCoV-19/Pakistan/NIH-B72-S11/2022	EPI_ISL_14216899		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al
hCoV-19/Israel/ICH-741183883/2022	EPI_ISL_14458526		Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Katya Levytskyi et al
hCoV-19/PuertoRico/PR-ASC-210801062/2022	EPI_ISL_15046675		Aegis Sciences Corporation	Aegis Sciences Corporation	Cyndi Clark et al
hCoV-19/Egypt/CPHL-23600/2023	EPI_ISL_18115518		Central Public Health Laboratories, Ministry of Health and Population	Central Public Health Laboratories, Ministry of Health and Population	Wael H. Roshdy et al
hCoV-19/Pakistan/IDRL-AKU-KHI-79157-S2/2022	EPI_ISL_16362564		"""Clinical Lab, Aga Khan University Hospital"""	"""Infectious Diseases Research Laboratory, Department of Pediatrics and Child Health"""	"""Furqan Kabir et al"
hCoV-19/Beijing/BJCDC-2250/2022	EPI_ISL_16634294		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Fu Li et al
hCoV-19/Tianjin/TJCDC-1551/2022	EPI_ISL_16922982		Tianjin Centers for Disease Control and Prevention	Tianjin Centers for Disease Control and Prevention	Li Xiaoyan et al
hCoV-19/Tianjin/TJCDC-1555/2022	EPI_ISL_16922988		Tianjin Centers for Disease Control and Prevention	Tianjin Centers for Disease Control and Prevention	Li Xiaoyan et al
hCoV-19/Tianjin/TJCDC-1527/2022	EPI_ISL_16922964		Tianjin Centers for Disease Control and Prevention	Tianjin Centers for Disease Control and Prevention	Li Xiaoyan et al
hCoV-19/Anhui/WCDC-38/2022	EPI_ISL_16633860			Wuhu Center for Disease Control and Prevention	Zhatao et al
hCoV-19/Shandong/SDCDC-3039/2022	EPI_ISL_16604476		Jinan Municipal Center for Disease Control and Prevention	Shandong Provincial Center for Disease Control and Prevention	Yan Li et al
hCoV-19/Heilongjiang/HLJCDC-0425/2023	EPI_ISL_17199847		Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Department for Viral Disease Control and Prevention, Heilongjiang Provincial Center for Disease Control and Prevention	Huahua et al
hCoV-19/Jiangxi/GCDC-046/2023	EPI_ISL_16854323		Ganzhou Center for Disease Control and Prevention	Ganzhou Center for Disease Control and Prevention	Jielian Wang et al
hCoV-19/Algeria/13W/2022	EPI_ISL_15946142		Laboratoire central - EPH Biskra	NIC, Viral Respiratory Unit	Baya Hedjal et al
hCoV-19/Indonesia/JB-FKUINIHRD-WGS.22.17511/2022	EPI_ISL_17972572		RS Primaya Bekasi	Faculty of Medicine, Universitas Indonesia	Fera Ibrahim et al
hCoV-19/Indonesia/SB-GS-NIHRD-GSILab-1122451/2022	EPI_ISL_15246077		Dinkes Provinsi Sumatera Barat (RSUP Dr M Djamil Padang)	Genomik Solidaritas Indonesia Laboratorium	Aisyi Sakina Rifani et al
hCoV-19/Iran/BQ151/2023	EPI_ISL_18050629		Babol University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Zahra Fereydouni et al
hCoV-19/Indonesia/JK-CW62-2772/2022	EPI_ISL_15673111		BBLK Jakarta	National Quality Control Laboratory of Drug and Food	Sofia D. U. et al
hCoV-19/Azerbaijan/PHRC-MOH-29/2022	EPI_ISL_19180180		Ministry of Health of the Republic of Azerbaijan, Special Dangerous İnfections Control Center Public Legal Entity	Laboratory of Virology - Institute of Public Health Skopje, Macedonia	Teodora Buzharova et al
hCoV-19/Tianjin/TJCDC-0991/2022	EPI_ISL_16922458		Tianjin Centers for Disease Control and Prevention	Tianjin Centers for Disease Control and Prevention	Li Xiaoyan et al
hCoV-19/Vietnam/PIHCM_2397/2022	EPI_ISL_15065525		Pasteur Institute in Ho Chi Minh city	Pasteur Institute in Ho Chi Minh city	Dao Hoang Thi Nhu et al
hCoV-19/Syria/Northwest-00360/2022	EPI_ISL_14987026		EWARN's Lab	Ministry of Health Turkey	Yasir Elferruh et al
hCoV-19/Crimea/RII-MH79850S/2022	EPI_ISL_15084753		Sevastopol Dermatovenerologic Dispensary	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Syria/Northwest-00361/2022	EPI_ISL_14987027		EWARN's Lab	Ministry of Health Turkey	Yasir Elferruh et al
hCoV-19/Pakistan/IDRL-AKU-KHI-77420-S9/2022	EPI_ISL_15169350		Clinical Lab, Aga Khan University Hospital	Infectious Diseases Research Laboratory, Department of Pediatrics and Child Health	Waqasuddin Khan et al
hCoV-19/Vietnam/PIHCM_2774/2022	EPI_ISL_16527043		Pasteur Institute in Ho Chi Minh city	Pasteur Institute in Ho Chi Minh city	Hang Pham Thi Thu et al
hCoV-19/Bulgaria/22BG-NC_022391_R35/2022	EPI_ISL_15683393		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/Indonesia/RI-GS-NIHRD-GSILab-1130366/2022	EPI_ISL_16018427		RS Umum Daerah Arifin Achmad	Genomik Solidaritas Indonesia Laboratorium	Arif Trisman et al
hCoV-19/Beijing/BJCDC-2102/2022	EPI_ISL_16634211		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Zhaomin Feng et al
hCoV-19/Russia/BA-RII-MH109618S/2022	EPI_ISL_15809237		Beloretsk Central District Clinical Hospital	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Japan/RB23-001-21-P0/2022	EPI_ISL_17066709		Department of Veterinary Science and Department of Virology I, National Institute of Infectious Diseases	Research Center for Influenza and Respiratory Viruses, National Institute of Infectious Diseases	Yudai Kuroda et al
hCoV-19/Azerbaijan/PHRC-MOH-18/2022	EPI_ISL_19180177		Ministry of Health of the Republic of Azerbaijan, Special Dangerous İnfections Control Center Public Legal Entity	Laboratory of Virology - Institute of Public Health Skopje, Macedonia	Teodora Buzharova et al
hCoV-19/Russia/SPE-RII-MH85792S/2022	EPI_ISL_15347552		Saint Petersburg Aleksandrovsky Hospital	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al B
hCoV-19/Canada/ON-PHL-22-44587/2022	EPI_ISL_15434361		Public Health Ontario Laboratory	Public Health Ontario Laboratory	Jacob Afelskie et al
hCoV-19/USA/CA-CDC-QDX41890328/2022	EPI_ISL_15353945		Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Thailand/DMSc-12810/2022	EPI_ISL_16251456		Ban Bueng Hospital	Medical Genomic Centre,Medical Life Sciences Institute,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol et al
hCoV-19/Zhejiang/ZPCDCP-130/2022	EPI_ISL_17261632		Zhejiang Provincial Center for Disease Control and Prevention	Zhejiang Provincial Center for Disease Control and Prevention	Yi Sun et al
hCoV-19/Turkey/HSGM-GS4593/2022	EPI_ISL_13574433		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al A
hCoV-19/Guinea/LFHVG-G0713/2022	EPI_ISL_14605092		Laboratoire des Fievres Hemorragiques Virales en Guinee, LFHVG	Laboratoire des Fievres Hemorragiques Virales en Guinee, LFHVG, and the Bernhard Nocht Institute for Tropical Medicine, BNITM	N’Faly Magassouba et al
hCoV-19/Luxembourg/LNS0771451/2022	EPI_ISL_12703155		Hospital Center Luxembourg	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino et al
